kind,mask,changed,recall,precision,iou,ratio
modify,0.493352,0.378512,0.9965337954939342,0.7645656650829428,0.7625378034382935,1.303398571247411
insert,0.6436882019042969,0.3243436813354492,0.9978212226439949,0.5027853667498325,0.5022339894952915,1.9845868408904466
modify,0.796996,0.077912,0.9873190265941062,0.09651742292307615,0.09639792276536872,10.229438340692065
insert,0.7316455841064453,0.04434490203857422,0.9978709219553109,0.0604807699827682,0.06047296636842894,16.498978472655327
modify,0.631136,0.011504,0.9141168289290682,0.01666201896263246,0.016635976485626237,54.86230876216968
modify,0.6164255142211914,0.0029153823852539062,0.957801766437684,0.004529920215851936,0.004529016331063669,211.43899247628394
modify,0.485652,0.148084,0.9903298128089463,0.3019693113587507,0.3010815382972957,3.2795710542664973
modify,0.9513,0.047312,0.9723537368955022,0.048359087564385575,0.04829268702341362,20.106949611092325
modify,0.9892892837524414,0.1972513198852539,0.9986075722926225,0.19910926451662658,0.19905400078833269,5.015374722602293
modify,0.617148,0.005676,0.8188865398167724,0.007531418719658818,0.007518894295475722,108.7293868921776
modify,0.6231422424316406,0.010064125061035156,0.9937458542594523,0.016049598109615374,0.01604797713159433,61.91717994882972
modify,0.7515964508056641,0.27779483795166016,0.9976792807143421,0.3687486201094777,0.3684325960785109,2.7055810552406716
modify,0.460424,0.219756,0.9844190829829447,0.46985387382065225,0.46638554009071936,2.0951600866415476
modify,0.7325029373168945,0.4682292938232422,0.9967146936497656,0.6371182876895135,0.6357831253296747,1.5644107427277207
modify,0.842416,0.06076,0.9799210006583279,0.07067766993979221,0.07057546145494029,13.864647794601712
modify,0.7995166778564453,0.037749290466308594,0.9984841977616654,0.047143569422940665,0.04714019565512981,21.179647828613295
modify,0.464924,0.003804,0.7371188222923238,0.006031093253951183,0.0060181488826503895,122.21976866456362
modify,0.559204,0.004668,0.7823479005998286,0.00653071151136258,0.006518867587733391,119.79520137103685
modify,0.58563232421875,0.061725616455078125,0.9938662629009332,0.1047534523189161,0.1046857734300877,9.487670724924294
modify,0.6900501251220703,0.1692333221435547,0.9952551083661118,0.24408419365092526,0.24380048922436404,4.077507410371139
insert,0.566268,0.035452,0.9713415322125691,0.06081219493243482,0.06070328089634116,15.972808304185943
remove,0.674452,0.083024,0.956879938331085,0.11779044320426064,0.11716851122070934,8.123578724224322
modify,0.6326446533203125,0.0633096694946289,0.9988551630639452,0.09995688719519548,0.09994543689671596,9.992859832793552
insert,0.6730079650878906,0.14003562927246094,0.9985630422642641,0.20777525860847385,0.2077131536411814,4.805976654544464
modify,0.674984,0.172972,0.9889461878223065,0.2534282294098823,0.25271238122252165,3.902273200286752
modify,0.693452,0.036628,0.9731353063230316,0.05140081793693003,0.051327984148287244,18.93229223544829
modify,0.7094278335571289,0.4734821319580078,0.9992446856079374,0.6669099825377173,0.6665739576279385,1.498320180792053
modify,0.19918,0.081804,0.9877756588919857,0.40568330153629883,0.4036567089619343,2.4348442618942836
modify,0.12616443634033203,0.0037488937377929688,1.0,0.02971434618611718,0.02971434618611718,33.65377766471636
modify,0.771412,0.062396,0.9816013847041477,0.07939726112635012,0.07927927927927927,12.363164305404192
modify,0.7676763534545898,0.02605724334716797,0.994876111700765,0.03376908618614179,0.03376321408210337,29.461149946931158
modify,0.604368,0.03594,0.9490261547022816,0.05643581394117491,0.0562652589904322,16.81602671118531
modify,0.6753292083740234,0.18529701232910156,0.9916262648097253,0.2720826849155668,0.2714589840805567,3.6445768870497894
modify,0.5979452133178711,0.12072467803955078,0.9660160045501583,0.19503788730619737,0.19370878498573563,4.952965897510842
modify,0.76052,0.013696,0.24649532710280375,0.004439068006101088,0.004379637797727155,55.5286214953271
modify,0.84722,0.183976,0.9912162455972519,0.2152451547413895,0.21483537455998566,4.605057181371483
modify,0.614032,0.00752,0.850531914893617,0.010416395236730333,0.010397362620213409,81.6531914893617
modify,0.681688,0.201192,0.993041472821981,0.2930842262149253,0.2924835453118778,3.3882460535210144
modify,0.385696,0.015256,0.9323544834819087,0.03687878536463951,0.036780372768457414,25.281594126900888
modify,0.4102487564086914,0.039351463317871094,0.8623948816130674,0.08272176336717212,0.08164412476626401,10.425247800693114
modify,0.265344,0.013292,0.9259705085765875,0.04638506994693681,0.04621369138806284,19.96268432139633
modify,0.29213428497314453,0.0053234100341796875,0.9901469007524185,0.018042928262466333,0.018039689274756836,54.87728412755285
modify,0.625156,0.011752,0.915929203539823,0.01721810236165053,0.017190933714928195,53.19571136827774
modify,0.4149,0.156444,0.9921761141366879,0.3741142443962401,0.373013813190299,2.6520671933727082
modify,0.3613004684448242,0.0176849365234375,0.9967644521138913,0.048789629696107444,0.04878190392994661,20.429842536669543
insert,0.4497261047363281,0.03885650634765625,0.9792362065580208,0.08460638036185354,0.08445486835810659,11.574023169055566
modify,0.737828,0.100172,0.9707702751267819,0.1317976547379606,0.13127669570006859,7.365611148824024
modify,0.802428,0.27128,0.9930698908876437,0.33573105624429855,0.33494631409857917,2.957932763196697
